Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Commut acquires H2O Cabs,H2O Cabs,Commut,03/21/2016,
Snapdeal acquires Fashiate,Fashiate,Snapdeal,08/24/2015,
WbSrch acquires Snagr.io,Snagr.io,WbSrch,03/26/2016,
Brocade Communications Systems acquires StackStorm,StackStorm,Brocade Communications Systems,03/29/2016,
Hootsuite acquires Sales Prodigy,Sales Prodigy,Hootsuite,03/29/2016,
Industrial Search Partners acquires Ference Partners,Ference Partners,Industrial Search Partners,03/30/2016,
Quora acquires Parlio,Parlio,Quora,03/30/2016,
Careem acquires Savaree,Savaree,Careem,03/30/2016,
Jugnoo acquires Yelo,Yelo,Jugnoo,09/19/2015,
Glovo App acquires Foodinho,Foodinho,Glovo App,03/31/2016,
Flipkart acquires PhonePe,PhonePe,Flipkart,04/01/2016,
Morningstar acquires RightPond,RightPond,Morningstar,03/31/2016,
Salesforce acquires MetaMind,MetaMind,Salesforce,04/04/2016,"$32,799,999"
Simply Wall St acquires Cappio,Cappio,Simply Wall St,04/04/2016,
Arlington Capital Partners acquires Endeavor Robotics,Endeavor Robotics,Arlington Capital Partners,04/04/2016,
SO What Global acquires Iris Life Communications,Iris Life Communications,SO What Global,04/07/2016,
Salestools.io acquires Salesfinder.io,Salesfinder.io,Salestools.io,04/11/2016,
Homemade acquires CookNook,CookNook,Homemade,04/13/2016,
SS&C Technologies acquires Nervanix,Nervanix,SS&C Technologies,04/13/2016,
Ecommerce Alliance acquires Libute GmbH,Libute GmbH,Ecommerce Alliance,04/12/2016,
OneFit acquires KursPass,KursPass,OneFit,04/12/2016,
Mobite Media Group acquires VINKO Advertising,VINKO Advertising,Mobite Media Group,04/17/2016,"$1,700,000"
Potential.co.uk acquires Starta Africa,Starta Africa,Potential.co.uk,04/15/2016,
foodora acquires volo delivery,volo delivery,foodora,05/01/2015,
Pixius Communications acquires AngelComputing,AngelComputing,Pixius Communications,04/17/2016,
Digital Asset acquires Elevence Digital Finance,Elevence Digital Finance,Digital Asset,04/20/2016,
HIG Capital acquires Valtris Specialty Chemicals,Valtris Specialty Chemicals,HIG Capital,12/01/2014,
Conga acquires ActionGrid,ActionGrid,Conga,04/20/2016,
C4X Discovery acquires Adorial,Adorial,C4X Discovery,04/27/2016,
CloudMedx Inc acquires Gyrus Labs,Gyrus Labs,CloudMedx Inc,04/27/2016,
Affirm acquires Sweep,Sweep,Affirm,04/27/2016,
You & Mr Jones acquires theAmplify,theAmplify,You & Mr Jones,04/29/2016,
Google acquires Dark Blue Labs,Dark Blue Labs,Google,10/23/2014,
Google acquires Vision Factory,Vision Factory,Google,10/23/2014,
DriversKart acquires Driven,Driven,DriversKart,05/11/2016,
Kensington Vanguard National Land Services acquires CORE Title of Colorado,CORE Title of Colorado,Kensington Vanguard National Land Services,05/11/2016,
Tech Mpire acquires Appenture d.o.o.,Appenture d.o.o.,Tech Mpire,05/12/2016,
Metaphor IT acquires Virtual Workspaces,Virtual Workspaces,Metaphor IT,05/11/2016,
MyeCA acquires Lawin1,Lawin1,MyeCA,05/17/2016,
Glispa Global Group acquires Mobils,Mobils,Glispa Global Group,05/17/2016,
TrekkSoft acquires Myobis,Myobis,TrekkSoft,05/17/2016,
Zalando SE acquires AMAZE,AMAZE,Zalando SE,05/18/2016,
S-money acquires Depopass,Depopass,S-money,05/19/2016,
LinkedIn acquires Run Hop,Run Hop,LinkedIn,05/05/2016,
Prattle acquires LH Meyer,LH Meyer,Prattle,05/18/2016,
Truepoint Wealth Counsel acquires RhineVest Advisors,RhineVest Advisors,Truepoint Wealth Counsel,06/01/2016,
Blue Box Media Pvt. Ltd. acquires Startify,Startify,Blue Box Media Pvt. Ltd.,06/06/2016,
Vanitee acquires Mefitted,Mefitted,Vanitee,06/06/2016,
QUALITANCE acquires LaunchPodium,LaunchPodium,QUALITANCE,06/06/2016,
CopperHill Consulting acquires Omega Data,Omega Data,CopperHill Consulting,06/02/2016,
Mobyt acquires MediaMob,MediaMob,Mobyt,06/08/2016,
"OneLogin, Inc. acquires Portadi",Portadi,"OneLogin, Inc.",06/13/2016,
Citrix Systems acquires Octoblu,Octoblu,Citrix Systems,12/01/2014,
oi media acquires Adclever,Adclever,oi media,06/14/2016,
Freauty acquires CitySwish,CitySwish,Freauty,06/13/2016,
Global Advisors Bitcoin Investment Fund acquires XBT Provider,XBT Provider,Global Advisors Bitcoin Investment Fund,06/14/2016,
"Mylestoned acquires Heirloom Technology, Inc.","Heirloom Technology, Inc.",Mylestoned,06/15/2016,
Condé Nast acquires Backchannel,Backchannel,Condé Nast,06/16/2016,
TAL Education Group acquires Shunshun Education Inc.,Shunshun Education Inc.,TAL Education Group,06/16/2016,
CI Capital Partners acquires Epiphany Dermatology PA,Epiphany Dermatology PA,CI Capital Partners,06/20/2016,
Pinterest acquires tote,tote,Pinterest,06/22/2016,
Intrinsic Europe acquires Symmachia Ltd.,Symmachia Ltd.,Intrinsic Europe,06/17/2016,
EDAQS acquires NEXTdata,NEXTdata,EDAQS,03/05/2016,
Capital Confirmation acquires VeriFirm Services,VeriFirm Services,Capital Confirmation,05/10/2016,
ironSource acquires StreamRail,StreamRail,ironSource,06/30/2016,
News55 acquires Seniorevent,Seniorevent,News55,07/01/2016,
1mg acquires Medd,Medd,1mg,07/05/2016,
Helios and Matheson Analytics acquires RedZone,RedZone,Helios and Matheson Analytics,07/12/2016,
Northshore Management Company acquires Fiveworx,Fiveworx,Northshore Management Company,07/12/2016,
JobFluent acquires jobsBCN,jobsBCN,JobFluent,07/13/2016,
INEOS Group AG acquires INOVYN,INOVYN,INEOS Group AG,07/07/2016,
Rally acquires TailBus,TailBus,Rally,07/13/2016,
ShopClues.com acquires Momoe Technologies,Momoe Technologies,ShopClues.com,07/15/2016,
Ultra Capital acquires EverVest,EverVest,Ultra Capital,07/16/2016,
SEO Solutions Pty Ltd. acquires Sydney SEO Partners,Sydney SEO Partners,SEO Solutions Pty Ltd.,07/23/2016,
Gawk acquires Xtelus,Xtelus,Gawk,07/12/2016,
Hire Velocity acquires BHS Hire,BHS Hire,Hire Velocity,04/06/2016,
Raise Marketplace acquires Slide,Slide,Raise Marketplace,06/24/2016,
Alibaba Pictures Group Limited acquires Taobao Movie,Taobao Movie,Alibaba Pictures Group Limited,11/04/2015,
Neverfail acquires Vertiscale,Vertiscale,Neverfail,08/01/2016,
PaidEasy acquires Happy Any Hour,Happy Any Hour,PaidEasy,08/02/2016,
Nike acquires Virgin Mega USA,Virgin Mega USA,Nike,08/02/2016,
Daily Delite acquires Lemon leaf,Lemon leaf,Daily Delite,08/03/2016,
Sivantos acquires audibene,audibene,Sivantos,03/31/2015,
Intelliagg.com acquires Dark Sum Inc,Dark Sum Inc,Intelliagg.com,08/03/2016,
Hooch acquires Flux,Flux,Hooch,06/23/2016,
Megaport acquires OM-NIX Group AD,OM-NIX Group AD,Megaport,07/29/2016,
"Corgentech acquires AlgorX, Inc.","AlgorX, Inc.",Corgentech,09/26/2005,
Fidelis Cybersecurity acquires Resolution1 Security,Resolution1 Security,Fidelis Cybersecurity,05/14/2015,
Alta Equity Partners acquires Zovy LLC,Zovy LLC,Alta Equity Partners,09/24/2014,
Cypress acquires Silicon Markets,Silicon Markets,Cypress,08/01/2002,
Quartics acquires Avaz Networks,Avaz Networks,Quartics,02/02/2004,
NantHealth acquires Health Heritage,Health Heritage,NantHealth,10/26/2015,
Yahoo! acquires Jumpcut,Jumpcut,Yahoo!,09/27/2006,
Phillips Properties group acquires Coastal Phillips of the Carolina's,Coastal Phillips of the Carolina's,Phillips Properties group,03/01/2016,
Bee There LLC acquires The Block Project,The Block Project,Bee There LLC,03/27/2014,
SaltMines Group acquires moveCHECK,moveCHECK,SaltMines Group,10/01/2014,
99DRONES acquires Drones.net,Drones.net,99DRONES,10/31/2014,
Metric Collective acquires SmallBusinessPost,SmallBusinessPost,Metric Collective,06/01/2014,
Metric Collective acquires Dandelion,Dandelion,Metric Collective,04/01/2015,
Clayton Associates acquires Staffing as a Mission,Staffing as a Mission,Clayton Associates,05/13/2015,
Payfort acquires White Payments,White Payments,Payfort,06/29/2015,
Revyrie acquires HopTrot,HopTrot,Revyrie,08/01/2015,
Invacio acquires Lavaboom GmbH < Non Company Aquisition| Aquired OS Product and Dev Team>,Lavaboom GmbH < Non Company Aquisition| Aquired OS Product and Dev Team>,Invacio,08/30/2015,
FanDuel acquires AlphaDraft,AlphaDraft,FanDuel,09/24/2015,
Masae Analytics acquires 4G Analytics,4G Analytics,Masae Analytics,01/01/2015,
Globaldyne acquires Mesheable,Mesheable,Globaldyne,05/01/2015,
Globaldyne acquires GEAR International,GEAR International,Globaldyne,10/05/2015,
Mesheable acquires Mega Meals,Mega Meals,Mesheable,02/05/2015,
The View Collection acquires Design Motif,Design Motif,The View Collection,05/15/2015,
GEAR International acquires Design Motif,Design Motif,GEAR International,09/17/2015,
A solz Technologies acquires bccademy,bccademy,A solz Technologies,10/01/2015,
Globaldyne acquires TriCore Resources,TriCore Resources,Globaldyne,12/04/2015,
"Viral, Inc. acquires AdSplash Group, Inc.","AdSplash Group, Inc.","Viral, Inc.",11/20/2015,
Richiesoft acquires Denebsky,Denebsky,Richiesoft,02/01/2016,
Moovenda acquires Loveat,Loveat,Moovenda,02/01/2016,
Bulletproof Group Limited acquires Cloud House,Cloud House,Bulletproof Group Limited,02/01/2016,"$5,200,000"
DPGW acquires Dopevids,Dopevids,DPGW,01/05/2016,
Twitter acquires Peer,Peer,Twitter,04/07/2016,
Piggybag Pty Ltd acquires UltraBOHO,UltraBOHO,Piggybag Pty Ltd,04/08/2016,
Abstracta acquires Monkop,Monkop,Abstracta,03/01/2016,
Wearable Technologies Limited acquires ICE ID Solutions Limited,ICE ID Solutions Limited,Wearable Technologies Limited,12/05/2014,
reKindness acquires Bartly,Bartly,reKindness,05/01/2016,
Casaplus Group acquires Casaplus,Casaplus,Casaplus Group,02/26/2016,"$1,800,000"
Afshar Javan Capital Management LLC acquires Federated Realty,Federated Realty,Afshar Javan Capital Management LLC,06/01/2016,
Spinny acquires HopCar,HopCar,Spinny,06/13/2016,
GrabFood acquires Skybag,Skybag,GrabFood,06/04/2016,"€2,200,000"
Integral Ad Science acquires Swarm Enterprises,Swarm Enterprises,Integral Ad Science,07/08/2016,
Netforce Infotech acquires ProfitMissile inc,ProfitMissile inc,Netforce Infotech,05/01/2016,"$200,000"
Lecturize acquires Studify,Studify,Lecturize,09/01/2014,
Mercadoni acquires Notlazy,Notlazy,Mercadoni,04/14/2016,
Google acquires LaunchKit,LaunchKit,Google,07/27/2016,
Techmate acquires MyConvoy,MyConvoy,Techmate,07/01/2016,
Infuse acquires MyRoundUp,MyRoundUp,Infuse,10/01/2015,
NinjaRMM LLC acquires Big Data Perspective,Big Data Perspective,NinjaRMM LLC,06/02/2016,
Venture Capital World Summit Ltd acquires Resender,Resender,Venture Capital World Summit Ltd,07/01/2016,"£15,000"
Zimmber acquires Glamnfit,Glamnfit,Zimmber,03/21/2016,
Shortir acquires Joornl,Joornl,Shortir,08/31/2016,
Livspace acquires DezignUp,DezignUp,Livspace,03/30/2015,
Thomas H. Lee Partners acquires Prime Risk Partners,Prime Risk Partners,Thomas H. Lee Partners,04/21/2014,
TPL acquires XTPL,XTPL,TPL,04/25/2016,"zł520,000"
Palantex acquires Paragons,Paragons,Palantex,09/01/2016,
ZupportDesk acquires ZupportDesk,ZupportDesk,ZupportDesk,05/01/2015,
Pasifis acquires Paragons,Paragons,Pasifis,09/08/2016,
Life Clips acquires mobeego,mobeego,Life Clips,06/01/2016,"$6,000,000"
Kxter Advisors LLC acquires Second Horizon,Second Horizon,Kxter Advisors LLC,04/01/2016,
BenXchange acquires PetInsure.net,PetInsure.net,BenXchange,09/01/2015,
"BenXchange acquires Lynx Allocation Partners, LLC","Lynx Allocation Partners, LLC",BenXchange,01/05/2016,
Dabble acquires Little Key,Little Key,Dabble,03/07/2016,
Incus Tunes acquires Streammer,Streammer,Incus Tunes,03/04/2016,
TicketIQ acquires SeatSmart,SeatSmart,TicketIQ,07/23/2016,
InSequent acquires Ladderr,Ladderr,InSequent,09/16/2015,
GWD Forestry acquires GWD Truffles,GWD Truffles,GWD Forestry,01/01/2015,
Digital Asset acquires Blockstack.io,Blockstack.io,Digital Asset,10/29/2015,
Williams Commerce acquires Flint Technology Ltd,Flint Technology Ltd,Williams Commerce,10/03/2016,
Capital One acquires Paribus,Paribus,Capital One,10/06/2015,
