Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Microsoft acquires Beam,Beam,Microsoft,08/11/2016,
Singapore Medical Group (SMG) acquires Lifescan Imaging,Lifescan Imaging,Singapore Medical Group (SMG),08/09/2016,"$8,500,000"
Intel acquires Nervana,Nervana,Intel,08/09/2016,"$350,000,000"
IndiQus Technologies acquires Amicus,Amicus,IndiQus Technologies,04/15/2016,
HyperGrid acquires DCHQ,DCHQ,HyperGrid,07/25/2016,
Pythian acquires Blackbird,Blackbird,Pythian,06/26/2014,
Housing.com acquires Plat,Plat,Housing.com,09/20/2015,
Didi Chuxing acquires Uber China,Uber China,Didi Chuxing,08/01/2016,"$7,000,000,000"
Twitter acquires Periscope Co,Periscope Co,Twitter,03/10/2015,
Unikrn acquires DotaProHub,DotaProHub,Unikrn,09/22/2015,
Cisco acquires Leaba Semiconductor,Leaba Semiconductor,Cisco,03/02/2016,"$320,000,000"
Docker acquires Conductant,Conductant,Docker,03/03/2016,
SPOYL acquires Revamp My Closet,Revamp My Closet,SPOYL,04/15/2016,
OpenText Corporation acquires HP Software,HP Software,OpenText Corporation,04/18/2016,"$170,000,000"
Hello Curry acquires The First Meal,The First Meal,Hello Curry,04/26/2016,
Conviviality Retail acquires Bibendum Wine Limited,Bibendum Wine Limited,Conviviality Retail,05/03/2016,"£60,000,000"
Runnr acquires TinyOwl Technology,TinyOwl Technology,Runnr,05/10/2016,
TrackMaven acquires 10Stories,10Stories,TrackMaven,05/12/2016,
SurfaceInk acquires GPiO,GPiO,SurfaceInk,06/02/2016,
Riverstone Holdings acquires Talen Energy Corp.,Talen Energy Corp.,Riverstone Holdings,06/03/2016,"$5,200,000,000"
Monster acquires Jobr,Jobr,Monster,06/08/2016,
Mobikon Asia acquires MassBlurb,MassBlurb,Mobikon Asia,06/23/2016,
Helix TCS acquires Cannabase,Cannabase,Helix TCS,07/07/2016,
Activist Insight acquires Activist Shorts Research,Activist Shorts Research,Activist Insight,07/13/2016,
NowFloats acquires Lookup,Lookup,NowFloats,07/19/2016,
Teneo Holdings acquires PSG Communications,PSG Communications,Teneo Holdings,07/18/2016,
Cashify.in acquires MobiBing,MobiBing,Cashify.in,07/19/2016,
"Predictive, Inc. acquires 2338 Technologies",2338 Technologies,"Predictive, Inc.",07/19/2016,
Fella Homes acquires LifePad,LifePad,Fella Homes,07/21/2016,
Main Capital Partners acquires OBILytics,OBILytics,Main Capital Partners,07/27/2016,
viihealth acquires Argolife,Argolife,viihealth,07/28/2016,
flaregames acquires Kopla Games,Kopla Games,flaregames,08/02/2016,
Velocity Fund Partners acquires InClinica,InClinica,Velocity Fund Partners,08/04/2016,
if(we) acquires Tinode,Tinode,if(we),10/17/2014,
Runscope acquires Ghost Inspector,Ghost Inspector,Runscope,12/18/2014,
Upper Street Marketing acquires MagMo,MagMo,Upper Street Marketing,03/28/2014,
"TBX Group, Inc acquires GreatDay Auto Group, Inc.","GreatDay Auto Group, Inc.","TBX Group, Inc",04/15/2015,
Facebook acquires Endaga,Endaga,Facebook,10/05/2015,
XSellco acquires ReplyManager LLC,ReplyManager LLC,XSellco,04/29/2015,
Spark Networks acquires Smooch Labs Inc.,Smooch Labs Inc.,Spark Networks,10/16/2015,
Funding Circle acquires Zencap,Zencap,Funding Circle,10/20/2015,
Mashape acquires Gelato.io,Gelato.io,Mashape,10/22/2015,
indiangrahak acquires Dyscover,Dyscover,indiangrahak,11/11/2015,
Oracle Corporation acquires StackEngine,StackEngine,Oracle Corporation,12/18/2015,
Shire acquires Baxalta,Baxalta,Shire,01/11/2016,"$32,000,000,000"
UrbanClap acquires HandyHome,HandyHome,UrbanClap,01/22/2016,
Gravity4 acquires Bolzter,Bolzter,Gravity4,06/17/2015,
Housejoy acquires mywash.in,mywash.in,Housejoy,02/03/2016,
Apparat acquires R-e-e-d,R-e-e-d,Apparat,12/01/2015,
Bridge acquires Appjolt,Appjolt,Bridge,02/09/2016,
OYO Rooms acquires ZO Rooms,ZO Rooms,OYO Rooms,02/10/2016,
Axiom Zen acquires Hammer and Tusk,Hammer and Tusk,Axiom Zen,02/23/2016,
Civic Resource Group acquires Globalive XMG,Globalive XMG,Civic Resource Group,02/23/2016,
CDK Global acquires NewCarIQ,NewCarIQ,CDK Global,02/24/2016,"$34,000,000"
essensys acquires Hubcreate,Hubcreate,essensys,02/26/2016,
PurelyB acquires Stretch City,Stretch City,PurelyB,03/08/2016,
Goldman Sachs acquires Honest Dollar,Honest Dollar,Goldman Sachs,03/14/2016,
Spinlister acquires Cycleswap,Cycleswap,Spinlister,03/15/2016,
Blockchain Tech LTD acquires XAPCASH Technologies,XAPCASH Technologies,Blockchain Tech LTD,03/22/2016,
Bristol-Myers Squibb acquires Padlock Therapeutics,Padlock Therapeutics,Bristol-Myers Squibb,03/23/2016,"$600,000,000"
Lendified acquires Mentio,Mentio,Lendified,03/30/2016,
Orahi acquires Odd-Even.com,Odd-Even.com,Orahi,04/06/2016,
