active,byline,city,currency,description,end_date,funded_amt,funded_pct,headline,state,title,url
1,Doodle3D,Utrecht,€,Doodle3D Transform is an app that makes designing in 3D easy and fun! Transform 2D drawings easily to 3D designs for your 3D printer.,2016-10-21,44117.0,88%,Doodle3D Transform: 3D design made easy,Utrecht,Doodle3D Transform:,https://www.kickstarter.com/projects/companje/doodle3d-transform-3d-design-made-easy?ref=category
1,Plum Geek,Portland,$,"Design your own rover missions! Learn Python, C/C++, and Linux along the way with this open and endlessly hackable robot.",2016-10-17,140933.0,469%,Spirit Rover - Learn Raspberry Pi and Arduino the fun way!,OR,Spirit Rover -,https://www.kickstarter.com/projects/plumgeek/spirit-rover-learn-raspberry-pi-and-arduino-the-fu?ref=category
1,Betternet,Vancouver,$,An affordable built-in VPN router for secure online surfing and unblocking websites. Compatible with multiple platforms and devices.,2016-10-14,358942.0,358%,Betterspot: A VPN Router for All Devices & Platforms,BC,Betterspot:,https://www.kickstarter.com/projects/betterspot/betterspot-a-vpn-router-for-all-devices-and-platfo?ref=category
1,Dyslexie Font,Amsterdam,€,"Dyslexie Font makes reading more accessible. Now, introducing 3 new tools to help!",2016-11-21,1599.0,4%,Dyslexie Font: Improving Reading for Dyslexics,North Holland,Dyslexie Font:,https://www.kickstarter.com/projects/479982674/dyslexie-font-improving-reading-for-dyslexics?ref=category
1,UGEARS,Miami,$,"Wooden self-propelled 3D models for self-assembly and hobby.
Santa has already ordered one:)",2016-10-24,92388.0,615%,UGEARS: Christmas mechanical symphony,FL,UGEARS:,https://www.kickstarter.com/projects/978262034/ugears-christmas-mechanical-symphony?ref=category
1,iLuun Inc,Dallas,$,"iLuun Air Allows You To Wirelessly Store & Share Photos & Videos, Transfer Files & Media, and Stream HD Movies Using Your Mobile Device",2016-11-16,23987.0,47%,iLuun Air: Never Run Out Of Storage On Your Phone Again!,TX,iLuun Air:,https://www.kickstarter.com/projects/791937129/iluun-the-first-wireless-usb30-flash-drive-for-sma?ref=category
1,Loki Products,Kirkland,$,The world’s most advanced meat thermometer delivers cooking perfection and mobile notifications.,2016-11-16,22859.0,45%,Loki - The Smart WiFi Meat Thermometer,WA,Loki -,https://www.kickstarter.com/projects/lokiproducts/loki-the-smart-wifi-meat-thermometer?ref=category
1,Stacked,Los Angeles,$,"A Smartphone Mount That Helps You Capture The Moment With Facial Tracking, Automated Videos and Pictures, Timelapse and Panoramas",2016-10-30,161003.0,460%,Picbot - An Automated Motorized Picture And Video Bot,CA,Picbot -,https://www.kickstarter.com/projects/1597931194/picbot-an-automated-motorized-picture-and-video-bo?ref=category
1,No Bull Sports,Fresno,$,We are an online sports community that strives to empower young female athletes to reach their full potential.,2016-10-22,3519.0,140%,No Bull Sports,CA,No Bull Sports,https://www.kickstarter.com/projects/nobull/no-bull-sports?ref=category
1,Litra,Austin,$,"LitraTorch - World's most versatile adventure ready LED light - for pro photo, video, underwater, bike, camp, drone, safety and fun.",2016-11-09,24316.0,97%,LitraTorch-World's Most Versatile Adventure Ready LED Light,TX,LitraTorch-,https://www.kickstarter.com/projects/415736264/litratorch-worlds-most-versatile-adventure-ready-l?ref=category
1,Biomechanical Robotics Group Inc.,Iowa City,$,"Learn how to program, use sensors, and micro-controllers!  Join our movement to bring high-functional prostheses to the market!",2016-11-08,8631.0,86%,Hobby Hand 2.0 - Prosthetic Hand Robotics Kit,IA,Hobby Hand 2.0 -,https://www.kickstarter.com/projects/biomechrg/hobby-hand-20-prosthetic-hand-robotics-kit?ref=category
1,AIRY GreenTech,Hamburg,€,Plants can purify the air. But how? With their roots! AIRY is the first plant pot to ventilate the root system. The result: Fresh air.,2016-11-18,18674.0,46%,AIRY box - Your natural and highly effective air purifier,Hamburg,AIRY box -,https://www.kickstarter.com/projects/airy/airy-box-your-natural-and-highly-effective-air-pur?ref=category
1,M.Meyer,Deutsch,€,Drive like Ken Block with our 125ccm engine powered drift bike - Feel the road and become one with your cycle and the asphalt!,2016-10-27,4023.0,26%,MOTORIZED DRIFT - TRICYCLE | ADAPT THE NEW WAY TO DRIVE,Saxony-Anhalt,MOTORIZED DRIFT -,https://www.kickstarter.com/projects/2023897456/motorized-drift-tricycle-adapt-the-new-way-to-driv?ref=category
